Core1,Core2,ListA,ListB
COMM 100,COMM 130,COMM 103,COMM 60
COMM 120,,COMM 125,COMM 100
,,COMM 132,COMM 103
,,,COMM 110
,,,COMM 115
,,,COMM 120
,,,COMM 125
,,,COMM 130
,,,COMM 132
,,,COMM 140
,,,COMM 145
,,,COMM 148
,,,COMM 200
,,,COMM 231
,,,COMM 232
,,,COMM 233
